,uid,method,c,epsilon,meanql
341,43,ESSA,12,1.4000000000000001,0.3947638308399026
342,44,OPT-SEM-IND,12,1.4000000000000001,0.05785402962253498
343,44,ESSA,12,1.4000000000000001,0.4043044345071952
344,52,OPT-SEM-IND,12,1.4000000000000001,0.12125959391145434
345,52,ESSA,12,1.4000000000000001,0.5513072858292728
346,62,OPT-SEM-IND,12,1.4000000000000001,0.18542687977378558
347,62,ESSA,12,1.4000000000000001,0.5569882288127082
348,65,OPT-SEM-IND,12,1.4000000000000001,0.18028140184482302
349,65,ESSA,12,1.4000000000000001,0.3985246139278898
350,67,OPT-SEM-IND,12,1.4000000000000001,0.09351402857675484
351,67,ESSA,12,1.4000000000000001,0.3579224531709696
352,71,OPT-SEM-IND,12,1.4000000000000001,0.05144927193813739
353,71,ESSA,12,1.4000000000000001,0.33783239389025743
354,84,OPT-SEM-IND,12,1.4000000000000001,0.10584230933193699
355,84,ESSA,12,1.4000000000000001,0.37207085198186235
356,85,OPT-SEM-IND,12,1.4000000000000001,0.0987404877170867
357,85,ESSA,12,1.4000000000000001,0.3532788378260301
358,128,OPT-SEM-IND,12,1.4000000000000001,0.12714876634245753
359,128,ESSA,12,1.4000000000000001,0.4138913096918879
360,4,OPT-SEM-IND,12,1.8000000000000003,0.15340524271074962
361,4,ESSA,12,1.8000000000000003,0.39769125206397704
362,7,OPT-SEM-IND,12,1.8000000000000003,0.11444759664404172
363,7,ESSA,12,1.8000000000000003,0.4186887908483755
364,14,OPT-SEM-IND,12,1.8000000000000003,0.11678782201447321
365,14,ESSA,12,1.8000000000000003,0.38484508442294457
366,22,OPT-SEM-IND,12,1.8000000000000003,0.05941672525019696
367,22,ESSA,12,1.8000000000000003,0.40764324766632964
368,25,OPT-SEM-IND,12,1.8000000000000003,0.16294576514266973
369,25,ESSA,12,1.8000000000000003,0.5274811561098377
370,35,OPT-SEM-IND,12,1.8000000000000003,0.1397407912258123
371,35,ESSA,12,1.8000000000000003,0.36639451545534957
372,36,OPT-SEM-IND,12,1.8000000000000003,0.12135960626367097
373,36,ESSA,12,1.8000000000000003,0.40579135415647
374,38,OPT-SEM-IND,12,1.8000000000000003,0.12191187752049772
375,38,ESSA,12,1.8000000000000003,0.33914979299445996
376,43,OPT-SEM-IND,12,1.8000000000000003,0.10627053336365068
377,43,ESSA,12,1.8000000000000003,0.39343689360383605
378,44,OPT-SEM-IND,12,1.8000000000000003,0.05785402962253498
379,44,ESSA,12,1.8000000000000003,0.4045602814048025
380,52,OPT-SEM-IND,12,1.8000000000000003,0.11141969441021712
381,52,ESSA,12,1.8000000000000003,0.5510350390358245
382,62,OPT-SEM-IND,12,1.8000000000000003,0.17504510374179
383,62,ESSA,12,1.8000000000000003,0.5569766130370957
384,65,OPT-SEM-IND,12,1.8000000000000003,0.16587440536082956
385,65,ESSA,12,1.8000000000000003,0.3985657658328769
386,67,OPT-SEM-IND,12,1.8000000000000003,0.09351402857675484
387,67,ESSA,12,1.8000000000000003,0.35834303055472155
388,71,OPT-SEM-IND,12,1.8000000000000003,0.05144927193813739
389,71,ESSA,12,1.8000000000000003,0.3387636197525998
390,84,OPT-SEM-IND,12,1.8000000000000003,0.09623989385976336
391,84,ESSA,12,1.8000000000000003,0.3726332524687813
392,85,OPT-SEM-IND,12,1.8000000000000003,0.08823789071625725
393,85,ESSA,12,1.8000000000000003,0.3539407972110035
394,128,OPT-SEM-IND,12,1.8000000000000003,0.1188357140103498
395,128,ESSA,12,1.8000000000000003,0.41428448722443917
396,4,OPT-SEM-IND,2,0.2,0.26358969163552565
397,4,USS,2,0.2,1.5909667800241867
398,4,ESSA,2,0.2,0.5673476393392922
399,7,OPT-SEM-IND,2,0.2,0.20660817345462115
400,7,USS,2,0.2,1.5656199050310935
401,7,ESSA,2,0.2,0.525893240712591
402,14,OPT-SEM-IND,2,0.2,0.3123384684698935
403,14,USS,2,0.2,1.3454138529504993
404,14,ESSA,2,0.2,0.5843870869689102
405,22,OPT-SEM-IND,2,0.2,0.25418821336489417
406,22,USS,2,0.2,1.2813333663110016
407,22,ESSA,2,0.2,0.48271322747454215
408,25,OPT-SEM-IND,2,0.2,0.2771114006146834
409,25,USS,2,0.2,1.6680737923944844
410,25,ESSA,2,0.2,0.6482916154294651
411,35,OPT-SEM-IND,2,0.2,0.35083848281129126
412,35,USS,2,0.2,1.298819110081325
413,35,ESSA,2,0.2,0.5504369762541894
414,36,OPT-SEM-IND,2,0.2,0.20730818193490627
415,36,USS,2,0.2,1.492925805323002
416,36,ESSA,2,0.2,0.5023282733038151
417,38,OPT-SEM-IND,2,0.2,0.2459238645561233
418,38,USS,2,0.2,1.3935365714750978
419,38,ESSA,2,0.2,0.5230918800562779
420,43,OPT-SEM-IND,2,0.2,0.2604299244160039
421,43,USS,2,0.2,1.6129635413360894
422,43,ESSA,2,0.2,0.5220031618767129
423,44,OPT-SEM-IND,2,0.2,0.24783822808982361
424,44,USS,2,0.2,1.1692138754150767
425,44,ESSA,2,0.2,0.46443099401520405
426,52,OPT-SEM-IND,2,0.2,0.1457196853399752
427,52,USS,2,0.2,1.946434652663274
428,52,ESSA,2,0.2,0.7391501002489935
429,62,OPT-SEM-IND,2,0.2,0.29706224582183677
430,62,USS,2,0.2,1.7406256882844426
431,62,ESSA,2,0.2,0.6793319810854734
432,65,OPT-SEM-IND,2,0.2,0.32602729523190443
433,65,USS,2,0.2,1.391992480892775
434,65,ESSA,2,0.2,0.5482451130020859
435,67,OPT-SEM-IND,2,0.2,0.12703567443673203
436,67,USS,2,0.2,1.2521577782677564
437,67,ESSA,2,0.2,0.4758804879815416
438,71,OPT-SEM-IND,2,0.2,0.11700737728211659
439,71,USS,2,0.2,1.308038921961906
440,71,ESSA,2,0.2,0.4976938889983158
